Timestamp,Age,Industry,Functional area of job,Job title,Additional context,Annual salary,Additional monetary compensation,Currency,Currency - other,Income - additional context,Country,State,City/region,Remote or on-site?,Unionized?,Years of experience,Years in field,Highest level of education,Gender,Race,Disabled?
4/8/2025 11:04:50,35-44,Business or Consulting,Health Care,Senior Data Scientist,,165000,0,USD,,,United States,,NA,Fully remote,No,11-20 years,11-20 years,Bachelor's degree,Man,,No
4/8/2025 11:04:52,25-34,Accessibility,Video Relay Service,Video Interpreter,,93800,,USD,,,United States,Oregon,"Portland, Oregon",Fully remote,No,11-20 years,5-7 years,Bachelor's degree,Non-binary,White,Yes
4/8/2025 11:04:55,45-54,Education (Higher Education),Education (Higher Education),Senior Consultant,"I work with international students and families to support them in the preparation for selection of, and application to US universities.",100000,125000,GBP,,"My bonus will range from 25,000 to 200,000, depending on the number of families I support.",United Kingdom,,London,On-site,No,31-40 years,31-40 years,Bachelor's degree,Woman,White,No
4/8/2025 11:04:59,25-34,"Marketing, Advertising & PR",Computing or Tech,AD Product Optimization,,112000,30000,USD,,,United States,Connecticut,Hartford CT,Fully remote,No,8-10 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:05:00,35-44,Business or Consulting,Investigations,Senior Managing Director,,300000,0,USD,,,United States,New York,New York,Hybrid,No,21-30 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:05:05,35-44,Insurance,Law,Vice President,,149000,27000,USD,,,United States,North Carolina,Raleigh,Hybrid,No,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Man,White,No
4/8/2025 11:05:06,35-44,Education (Early/Primary/Secondary),Administration,Assistant Principal,,114000,1200,USD,,,United States,Utah,Riverton,On-site,Yes,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:05:06,35-44,Education (Higher Education),Computing or Tech,Product Manager,,115000,0,USD,,,United States,Massachusetts,Boston,Hybrid,No,11-20 years,5-7 years,Bachelor's degree,Woman,White,Not sure / it's complicated
4/8/2025 11:05:07,35-44,Government & Public Administration,Government & Public Administration,Corporate Strategy Manager ,,130000,6500,CAD,,,Canada,,Torontk,Hybrid,No,11-20 years,11-20 years,Master's degree,Non-binary,White,No
4/8/2025 11:05:11,35-44,"Galleries, Libraries, Archives & Museums",Administration,Director,,130000,0,USD,,,United States,Ohio,Northwest Ohio,On-site,No,11-20 years,8-10 years,Master's degree,Woman,"Asian or Asian American, White",No
4/8/2025 11:05:14,25-34,Health Care,Nonprofits,Prospect Research Officer,"research for nonprofit fundraising, individual contributor",82000,0,USD,,,United States,Massachusetts,Boston,Fully remote,No,8-10 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 11:05:16,25-34,Manufacturing,"Marketing, Advertising & PR",Content Manager,Team lead for a marketing writing at an in-house marketing department ,80000,10000,USD,,,United States,Illinois,Central Illinois,Fully remote,No,11-20 years,8-10 years,Master's degree,Non-binary,White,No
4/8/2025 11:05:17,35-44,Property or Construction,Property or Construction,Real Estate Development,,124500,,USD,,,United States,Illinois,Chicago,Other/it's complicated,No,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White,No
4/8/2025 11:05:19,25-34,Banking & Finance,Computing or Tech,Lifecycle Marketing Development Manager,,137500,0,CAD,,,Canada,,Toronto,Fully remote,No,11-20 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:05:21,55-64,"Galleries, Libraries, Archives & Museums",archives management,Curator of Archives,,81120,0,USD,,,United States,Massachusetts,Metrowest Boston,On-site,No,21-30 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 11:05:24,25-34,Nonprofits,Nonprofits,Project Manager, ,28387,0,GBP,,,United Kingdom,,"Glasgow, Scotland",Hybrid,No,2-4 years,2-4 years,Master's degree,Woman,White,No
4/8/2025 11:05:26,45-54,Media & Digital,Media & Digital,Omitted - Personally Identifyable Given Industry,,100000,,CAD,,,Canada,,Toronto,On-site,No,21-30 years,21-30 years,Bachelor's degree,Man,White,No
4/8/2025 11:05:28,45-54,Government & Public Administration,Computing or Tech,Business Systems Analyst,,110000,,CAD,,,Canada,,"Vancouver, BC",Hybrid,Yes,21-30 years,21-30 years,Some college,Woman,White,No
4/8/2025 11:05:29,35-44,Law,Law,Attorney,Family Law,115000,35000,USD,,10% commission on cases generated for the firm; 10% annual bonus,United States,Massachusetts,Suburban Boston (inside 128),Hybrid,No,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,No
4/8/2025 11:05:29,45-54,Nonprofits,Engineering,Resources and Land Use Specialist,Land Planning and Development,45000,1000,USD,,,United States,New York,Catskills,On-site,No,21-30 years,21-30 years,Bachelor's degree,Woman,White,No
4/8/2025 11:05:31,45-54,Manufacturing,Engineering,Automation Controls Specialist,,105000,,USD,,,United States,Missouri,Columbia,On-site,No,31-40 years,11-20 years,Some college,Man,White,No
4/8/2025 11:05:32,35-44,Communications,Communications,Translator,,58000,0,CAD,,,Canada,,Montreal,Fully remote,No,11-20 years,1 year or less,Master's degree,Non-binary,White,No
4/8/2025 11:05:33,25-34,Manufacturing,Engineering,Engineering Manager,,147000,14000,USD,,,United States,Massachusetts,Metrowest,On-site,No,11-20 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 11:05:34,25-34,Media & Digital,Media & Digital,Managing Editor,"I manage workflows, not people",65000,,USD,,,United States,Alabama,Birmingham,Fully remote,No,8-10 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:05:37,25-34,Computing or Tech,Administration,Director of Sales Support and Agreement Management,,110000,20000,USD,,,United States,New York,Syracuse,On-site,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:05:39,45-54,Green/Renewable Energy,Recruitment or HR,Learning and Development Business Partner,,48500,,GBP,,,United Kingdom,,Bristol,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:05:40,25-34,Computing or Tech,Science,Researcher,,190000,,CAD,,,Canada,,"Montreal, Quebec",Hybrid,No,5-7 years,5-7 years,Doctorate,Woman,"Asian or Asian American, White",No
4/8/2025 11:05:40,25-34,Manufacturing,Sales,technical sales engineer,,79300,5000,USD,,,United States,New York,Rochester,Hybrid,No,8-10 years,8-10 years,Bachelor's degree,Woman,"Hispanic, Latino, or Spanish origin, White",Not sure / it's complicated
4/8/2025 11:05:50,25-34,Education (Higher Education),Nonprofits,Proposal and Stewardship Manager ,,72000,10000,USD,,,United States,Texas,Austin,Fully remote,No,8-10 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:05:50,35-44,Media & Digital,Product Management,Director of Product,More accurately should be Senior Product Manager,124000,4000,USD,,"Bonuses are not guaranteed, and are calculated based on business goals and a percentage of my salary. Usually don't exceed about 4k annually",United States,Illinois,Chicago,Fully remote,No,11-20 years,8-10 years,Bachelor's degree,Woman,White,Not sure / it's complicated
4/8/2025 11:05:52,35-44,Education (Higher Education),Education (Higher Education),Sr. Financial Aid Counselor,,60000,1000,USD,,,United States,Washington,Seattle,Hybrid,No,11-20 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 11:05:55,55-64,Aerospace & Defense,Aerospace & Defense,Senior Engineer,,132000,0,USD,,,United States,Alabama,Huntsville,On-site,No,31-40 years,31-40 years,Bachelor's degree,Man,White,No
4/8/2025 11:05:57,25-34,Government & Public Administration,Insurance,Senior Health Policy Analyst,,91000,,USD,,,United States,Maryland,Baltimore,Hybrid,No,8-10 years,8-10 years,Master's degree,Woman,White,Not sure / it's complicated
4/8/2025 11:06:00,35-44,Publishing,Media & Digital,Editor,,54075,,USD,,,United States,Alabama,Huntsville,Fully remote,Yes,11-20 years,1 year or less,Bachelor's degree,Non-binary,White,Not sure / it's complicated
4/8/2025 11:06:02,35-44,Education (Early/Primary/Secondary),Education (Early/Primary/Secondary),Teacher,,54599,200,USD,,,United States,Virginia,Lynchburg,On-site,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:06:02,45-54,Nonprofits,Nonprofits,Project Director,,94000,0,USD,,,United States,Massachusetts,Boston,Hybrid,No,21-30 years,21-30 years,Master's degree,Woman,White,No
4/8/2025 11:06:05,25-34,Computing or Tech,Computing or Tech,Engineer II,(Software) engineer,119000,15000,USD,,"RSU and bonuses, so variable depending on company and company stock performance ",United States,Minnesota,St Paul,Fully remote,No,5-7 years,2-4 years,Bachelor's degree,Woman,White,No
4/8/2025 11:06:08,35-44,Banking & Finance,Administration,Data Analyst 2,Working within Workforce Management,64000,5000,USD,,,United States,Missouri,Kansas City,Fully remote,No,11-20 years,5-7 years,Bachelor's degree,Woman,White,No
4/8/2025 11:06:10,25-34,Education (Higher Education),Administration,Assistant Director,,80000,,USD,,,United States,Illinois,Chicago,Hybrid,No,5-7 years,5-7 years,Doctorate,Woman,White,No
4/8/2025 11:06:10,35-44,Computing or Tech,Business or Consulting,Business Analyst,,90000,2000,USD,,,United States,New Hampshire,Manchester,Fully remote,No,21-30 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:06:10,25-34,Art & Design,Art & Design,Senior Brand Designer,,60000,,GBP,,,United Kingdom,,London,Fully remote,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:06:14,35-44,Nonprofits,Administration,CEO,,254000,13000,CAD,,,Canada,,Ontario Canada,Hybrid,No,11-20 years,11-20 years,Bachelor's degree,Man,White,No
4/8/2025 11:06:13,35-44,Retail,Administration,"Team Lead, Customer Care",Significant reporting accountabilities.,59000,2000,CAD,,,Canada,,Greater Toronto area (Ontario Canada),Fully remote,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:06:17,25-34,Education (Higher Education),Science,Postdoctoral Research Associate,,36924,,GBP,,,United Kingdom,,Manchester,On-site,Yes,2-4 years,1 year or less,Doctorate,Man,White,No
4/8/2025 11:06:17,35-44,Media & Digital,"Marketing, Advertising & PR","Director, Programmatic Advertising",,135000,10000,USD,,,United States,Illinois,Chicago,Hybrid,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:06:21,25-34,Retail,Communications,Communications Assistant,,50575,,EUR,,,Ireland,,Kildare,Hybrid,No,5-7 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:06:22,35-44,Education (Early/Primary/Secondary),Education (Early/Primary/Secondary),Early childhood special education teacher,,59625,0,USD,,,United States,Missouri,Marshfield ,On-site,Yes,11-20 years,11-20 years,Doctorate,Woman,White,No
4/8/2025 11:06:23,45-54,Computing or Tech,Computing or Tech,Technical writer,,150000,,USD,,,United States,Massachusetts,Boston suburbs,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:06:25,45-54,Education (Early/Primary/Secondary),Education (Early/Primary/Secondary),High School Teacher,,50000,,USD,,,United States,Kansas,Wichita,On-site,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:06:26,45-54,Engineering,"Marketing, Advertising & PR",Proposal Manager,,182000,20000,USD,,,United States,Massachusetts,Boston,Fully remote,No,31-40 years,21-30 years,Bachelor's degree,Man,White,No
4/8/2025 11:06:28,35-44,Supply Chain Management,Business or Consulting,Consultant,,291000,0,USD,,,United States,South Carolina,Columbia,Hybrid,No,21-30 years,8-10 years,Master's degree,Man,White,No
4/8/2025 11:06:29,35-44,Computing or Tech,Art & Design,Staff Product Designer,,205000,25000,USD,,Not counting additional income from stock payout,United States,California,Los Angeles,Fully remote,No,11-20 years,11-20 years,Bachelor's degree,Woman,"Hispanic, Latino, or Spanish origin, White",No
4/8/2025 11:06:31,35-44,Science,project management,project leader,Project manager,102000,0,USD,,,United States,North Carolina,Raleigh/Durham,Fully remote,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:06:33,35-44,Nonprofits,Health Care,"Manager, Data Science & Analytics ",,116000,1000,USD,,,United States,Massachusetts,Boston ,Fully remote,No,8-10 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White",No
4/8/2025 11:06:33,35-44,Education (Higher Education),Communications,Director of Donor Relations,,122000,0,USD,,,United States,Connecticut,New Haven,Hybrid,No,21-30 years,21-30 years,Bachelor's degree,Woman,White,No
4/8/2025 11:06:35,25-34,Nonprofits,Banking & Finance,Grants Administrator,,62000,,USD,,,United States,Pennsylvania,Lehigh Valley,On-site,No,11-20 years,8-10 years,Bachelor's degree,Non-binary,White,No
4/8/2025 11:06:35,35-44,Health Care,Health Care,Clinical Psychologist (Private Practice),,120000,0,USD,,,United States,Michigan,South East Michigan,Hybrid,No,11-20 years,11-20 years,Doctorate,Woman,White,No
4/8/2025 11:06:36,35-44,Education (Higher Education),Administration,"Associate Director, Admissions",,62085,0,USD,,,United States,Iowa,Cedar Rapids,Fully remote,No,11-20 years,8-10 years,Master's degree,Woman,,No
4/8/2025 11:06:38,35-44,Health Care,Administration,HIM Coder II,Medical Coder,75000,800,USD,,,United States,Washington,Seattle,Fully remote,Yes,11-20 years,2-4 years,Bachelor's degree,Woman,White,Yes
4/8/2025 11:06:39,35-44,Government & Public Administration,"Galleries, Libraries, Archives & Museums",Historic Preservationist,,84000,,USD,,,United States,Tennessee,Nashville,Hybrid,Yes,8-10 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 11:06:40,35-44,Health Care,Computing or Tech,Epic Analyst,,100875,,USD,,,United States,Indiana,Indianapolis,Hybrid,No,21-30 years,1 year or less,Master's degree,Woman,White,No
4/8/2025 11:06:41,35-44,"Marketing, Advertising & PR","Marketing, Advertising & PR",Senior Copywriter,,91750,,USD,,,United States,Texas,Dallas-Fort Worth,Fully remote,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:06:43,45-54,Education (Early/Primary/Secondary),Communications,Assistant Director ,,122000,0,USD,,,United States,Washington,Northwest,On-site,No,21-30 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:06:46,35-44,Social Work,Nonprofits,Case manager,,67000,0,USD,,,United States,California,Los Angeles,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:06:49,45-54,Government & Public Administration,Communications,Consulting editor,contract editor with gov't agencies,90000,0,USD,,"I actually make 46000 annually for part-time work on a 1099, so I pay a lot in taxes.",United States,Iowa,Iowa City,Fully remote,No,11-20 years,8-10 years,Doctorate,Woman,White,No
4/8/2025 11:06:58,35-44,Government & Public Administration,Government Affairs & Lobbying,Legislative liaison ,,114000,0,USD,,,United States,Connecticut,Hartford,Hybrid,No,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,Not sure / it's complicated
4/8/2025 11:07:00,35-44,Health Care,Nonprofits,Associate Director of Development,Development = Fundraising,96827,4841,USD,,,United States,Massachusetts,Boston,Hybrid,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:07:00,35-44,Health Care,Speechwriting,Speechwriter,Medical speechwriter,140000,500,USD,,,United States,Illinois,Chicagoland,Hybrid,No,11-20 years,5-7 years,Master's degree,Woman,White,Not sure / it's complicated
4/8/2025 11:07:04,55-64,"Marketing, Advertising & PR",Communications,Managing Storyteller,I'm a writer for a digital marketing agency managing a small team of writers,144000,10000,USD,,,United States,Missouri,St. Louis,Fully remote,No,31-40 years,31-40 years,Master's degree,Woman,White,No
4/8/2025 11:07:05,45-54,Education (Higher Education),Computing or Tech,CRM Administrator,,103000,,USD,,,United States,Massachusetts,Boston,Fully remote,No,21-30 years,11-20 years,Master's degree,Woman,White,Not sure / it's complicated
